Name,NO.,Brand,Market price,Shop price,Points limit for buying,Original picture,Picture,Thumbnail,Keywords,Brief,Details,Weight(kg),Stock quantity,Stock warning quantity,Best,New,Hot,On sale,Can be a common product sale?,Entity
MYOB AccountRight Live Plus                                                                         ,MPFUL-PAY2012-NZ       ,MYOB,553,500,,,,,ACCMYO0028,,MYOB AccountRight Live Plus ,,,,,,,,,6
MYOB AccountRight Live Standard latest version                                                      ,MA-FUL-NZ,MYOB,359,323,,,,,ACCMYO0031,,MYOB AccountRight Live Standard latest version ,,,,,,,,,18
MYOB Payroll 2013 retail boxed version                                                              ,PAY-FUL-NZ,MYOB,262,235,,,,,ACCMYO0064,,MYOB Payroll 2013 retail boxed version ,,,,,,,,,2
MYOB AccountRight Live Basics   The flexible way to manage your basic accounting needs              ,MB-FUL-NZ                         ,MYOB,189,170,,,,,ACCMYO0068,,MYOB AccountRight Live Basics   The flexible way to manage your basic accounting needs ,,,,,,,,,18
MYOB Cashbook Simple Cash Management Software                                                       ,CSH-8-NZ,MYOB,169,153,,,,,ACCMYO0104,,MYOB Cashbook Simple Cash Management Software ,,,,,,,,,9
MYOB AccountRight Premier Complete multi-user accounting MUX-19.5-NZ                                ,MUX-19.5-NZ,MYOB,639,576,,,,,ACCMYO1133531,,MYOB AccountRight Premier Complete multi-user accounting MUX-19.5-NZ ,,,,,,,,,6
